"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2013","Mike Trout","Angels","157","716","27","109","97","33","15.4 %","19.0 %",".234",".376",".323",".432",".557",".423","177","8.1","70.4","3.3","10.5","10155"
"2012","Mike Trout","Angels","139","639","30","129","83","49","10.5 %","21.8 %",".238",".383",".326",".399",".564",".409","167","12.0","62.2","13.0","10.1","10155"
"1996","Ken Griffey Jr.","Mariners","140","638","49","125","140","16","12.2 %","16.3 %",".325",".291",".303",".392",".628",".423","146","2.6","43.4","33.5","9.7","327"
"2011","Jacoby Ellsbury","Red Sox","158","732","32","119","105","39","7.1 %","13.4 %",".230",".336",".321",".376",".552",".400","150","2.5","44.8","18.0","9.1","4727"
"1997","Ken Griffey Jr.","Mariners","157","704","56","125","147","15","10.8 %","17.2 %",".342",".291",".304",".382",".646",".421","154","1.3","50.0","16.8","9.0","327"
"1990","Lenny Dykstra","Phillies","149","691","9","106","60","33","12.9 %","6.9 %",".115",".341",".325",".418",".441",".384","139","4.3","35.4","27.2","9.0","1003619"
"1993","Ken Griffey Jr.","Mariners","156","691","45","113","109","17","13.9 %","13.2 %",".308",".298",".309",".408",".617",".430","164","-0.2","54.2","8.0","8.4","327"
"2010","Josh Hamilton","Rangers","133","571","32","95","100","8","7.5 %","16.6 %",".274",".390",".359",".411",".633",".445","175","5.1","55.6","5.9","8.4","1875"
"2011","Matt Kemp","Dodgers","161","689","39","115","126","40","10.7 %","23.1 %",".262",".380",".324",".399",".586",".413","168","6.0","60.2","-2.7","8.4","5631"
"2013","Andrew McCutchen","Pirates","157","674","21","97","84","27","11.6 %","15.0 %",".190",".353",".317",".404",".508",".393","155","5.1","47.0","9.3","8.2","9847"
"2004","Jim Edmonds","Cardinals","153","612","42","102","111","8","16.5 %","24.5 %",".341",".344",".301",".418",".643",".436","168","-0.3","53.1","8.2","8.0","1153"
"2005","Andruw Jones","Braves","160","672","51","95","128","5","9.5 %","16.7 %",".312",".240",".263",".347",".575",".383","134","-0.5","28.2","28.5","7.9","96"
"2006","Grady Sizemore","Indians","162","751","28","134","76","22","10.4 %","20.4 %",".243",".339",".290",".375",".533",".383","132","8.4","39.7","15.2","7.8","2197"
"2007","Curtis Granderson","Tigers","158","676","23","122","74","26","7.7 %","20.9 %",".250",".360",".302",".361",".552",".388","136","8.2","38.4","17.5","7.7","4747"
"2000","Andruw Jones","Braves","161","729","36","122","104","21","8.1 %","13.7 %",".238",".310",".303",".366",".541",".387","127","1.5","28.7","27.5","7.7","96"
"2006","Carlos Beltran","Mets","140","617","41","127","116","18","15.4 %","16.0 %",".320",".263",".275",".388",".594",".408","148","6.4","45.4","12.3","7.6","589"
"2013","Carlos Gomez","Brewers","147","590","24","80","73","40","6.3 %","24.7 %",".222",".344",".284",".338",".506",".363","129","6.2","25.7","26.5","7.5","4881"
"2000","Richard Hidalgo","Astros","153","644","44","118","122","13","8.7 %","17.1 %",".323",".317",".314",".391",".636",".428","149","-0.1","42.6","13.2","7.3","561"
"2008","Carlos Beltran","Mets","161","706","27","116","112","25","13.0 %","13.6 %",".216",".297",".284",".376",".500",".375","129","8.9","34.4","14.8","7.2","589"
"2008","Grady Sizemore","Indians","157","745","33","101","90","38","13.2 %","17.4 %",".233",".290",".268",".374",".502",".376","131","8.4","36.9","10.1","7.2","2197"
"1998","Andruw Jones","Braves","159","631","31","89","90","27","6.3 %","20.4 %",".244",".298",".271",".321",".515",".353","113","3.7","14.0","37.4","7.0","96"
"1993","Kenny Lofton","Indians","148","657","1","116","42","70","12.3 %","12.6 %",".083",".376",".325",".408",".408",".368","125","8.4","28.4","20.1","7.0","246"
"1999","Andruw Jones","Braves","162","679","26","97","84","24","11.2 %","15.2 %",".208",".295",".275",".365",".483",".365","112","-0.6","10.8","38.5","6.9","96"
"1996","Brady Anderson","Orioles","149","687","50","117","110","21","11.1 %","15.4 %",".340",".286",".297",".396",".637",".434","155","0.4","52.9","-5.1","6.9","364"
"1991","Ken Griffey Jr.","Mariners","154","633","22","76","100","18","11.2 %","13.0 %",".201",".347",".327",".399",".527",".399","148","1.2","36.8","9.1","6.9","327"
"2001","Lance Berkman","Astros","156","688","34","110","126","7","13.4 %","17.6 %",".289",".367",".331",".430",".620",".440","164","-2.5","55.4","-7.8","6.8","548"
"1994","Ken Griffey Jr.","Mariners","111","493","40","94","90","11","11.4 %","14.8 %",".351",".311",".323",".402",".674",".440","163","0.9","42.4","11.5","6.8","327"
"1993","Lenny Dykstra","Phillies","161","773","19","143","66","37","16.7 %","8.3 %",".177",".313",".305",".420",".482",".400","143","2.6","44.1","-3.6","6.8","1003619"
"2003","Carlos Beltran","Royals","141","602","26","102","100","41","12.0 %","13.5 %",".215",".318",".307",".389",".522",".389","134","12.2","37.6","10.3","6.8","589"
"2012","Andrew McCutchen","Pirates","157","673","31","107","96","20","10.4 %","19.6 %",".226",".375",".327",".400",".553",".403","158","3.2","49.6","-6.5","6.7","9847"
"2002","Jim Edmonds","Cardinals","144","576","28","96","83","4","14.9 %","23.3 %",".250",".375",".311",".420",".561",".414","157","-0.6","40.2","8.6","6.7","1153"
"1999","Brian Giles","Pirates","141","627","39","109","115","6","15.2 %","12.8 %",".299",".305",".315",".418",".614",".433","154","0.3","46.4","3.9","6.7","990"
"2011","Curtis Granderson","Yankees","156","691","41","136","119","25","12.3 %","24.5 %",".290",".295",".262",".364",".552",".393","146","6.3","43.5","-2.9","6.7","4747"
"1994","Kenny Lofton","Indians","112","523","12","105","57","60","9.9 %","10.7 %",".187",".373",".349",".412",".536",".408","142","6.7","36.0","14.7","6.6","246"
"2002","Andruw Jones","Braves","154","659","35","91","94","8","12.6 %","20.5 %",".248",".285",".264",".366",".513",".377","130","1.8","26.7","18.0","6.6","96"
"1998","Ken Griffey Jr.","Mariners","161","720","56","120","146","20","10.6 %","16.8 %",".327",".270",".284",".365",".611",".408","144","1.8","43.2","-1.1","6.6","327"
"1992","Andy Van Slyke","Pirates","154","686","14","103","89","12","8.5 %","14.4 %",".181",".363",".324",".381",".505",".393","152","1.1","40.3","-1.6","6.5","1013363"
"2010","Andres Torres","Giants","139","570","16","84","63","26","9.8 %","22.5 %",".211",".331",".268",".343",".479",".358","125","7.4","24.4","20.4","6.5","1488"
"2000","Jim Edmonds","Cardinals","152","643","42","129","108","10","16.0 %","26.0 %",".288",".349",".295",".411",".583",".421","149","0.7","43.2","4.7","6.5","1153"
"1996","Lance Johnson","Mets","160","724","9","117","69","50","4.6 %","5.5 %",".147",".342",".333",".362",".479",".361","122","4.4","24.9","19.3","6.4","1006482"
"1991","Devon White","Blue Jays","156","715","17","110","60","33","7.7 %","18.9 %",".173",".331",".282",".342",".455",".355","119","2.6","18.4","20.4","6.4","1013862"
"1995","Bernie Williams","Yankees","144","648","18","93","82","8","11.6 %","15.1 %",".179",".344",".307",".392",".486",".387","133","-1.2","26.8","16.2","6.4","857"
"2000","Brian Giles","Pirates","156","688","35","111","123","6","16.6 %","10.0 %",".279",".305",".315",".432",".594",".430","153","1.3","51.2","-5.7","6.3","990"
"2001","Jim Edmonds","Cardinals","150","608","30","95","110","5","15.3 %","22.4 %",".260",".355",".304",".410",".564",".406","148","-1.2","36.9","7.0","6.2","1153"
"2004","Carlos Beltran","- - -","159","708","38","121","104","42","13.0 %","14.3 %",".280",".261",".267",".367",".548",".383","128","12.2","37.9","2.2","6.2","589"
"1998","Ray Lankford","Cardinals","154","626","31","94","105","26","13.7 %","24.1 %",".248",".352",".293",".391",".540",".400","144","3.0","37.8","6.0","6.2","1044"
"2007","Grady Sizemore","Indians","162","748","24","118","78","33","13.5 %","20.7 %",".185",".333",".277",".390",".462",".373","129","7.6","34.7","2.5","6.2","2197"
"2003","Jim Edmonds","Cardinals","137","531","39","89","89","1","14.5 %","23.9 %",".342",".297",".275",".385",".617",".417","156","-3.3","34.9","9.7","6.1","1153"
"2012","Michael Bourn","Braves","155","703","9","96","57","42","10.0 %","22.0 %",".117",".349",".274",".348",".391",".326","104","6.6","9.8","25.6","6.0","6387"
"2005","Jim Edmonds","Cardinals","142","567","29","88","89","5","16.0 %","24.5 %",".270",".310",".263",".385",".533",".389","139","3.3","31.0","10.9","6.0","1153"
"2009","Franklin Gutierrez","Mariners","153","629","18","85","70","16","7.3 %","19.4 %",".142",".333",".283",".339",".425",".335","104","2.1","5.5","33.4","6.0","3255"
"2010","Brett Gardner","Yankees","150","569","5","97","47","47","13.9 %","17.8 %",".103",".340",".277",".383",".379",".346","112","10.1","18.2","20.5","6.0","9927"
"2006","Andruw Jones","Braves","156","669","41","107","129","4","12.3 %","19.0 %",".269",".264",".262",".363",".531",".375","124","3.0","24.4","14.9","6.0","96"
"2007","Ichiro Suzuki","Mariners","161","736","6","111","68","37","6.7 %","10.5 %",".080",".389",".351",".396",".431",".362","122","8.2","28.7","6.9","6.0","1101"
"1992","Kirby Puckett","Twins","160","696","19","104","110","17","6.3 %","13.9 %",".161",".361",".329",".374",".490",".381","136","0.5","28.9","4.2","5.9","1010557"
"1992","Devon White","Blue Jays","153","696","17","98","60","37","6.8 %","19.1 %",".142",".287",".248",".303",".390",".315","93","5.7","0.1","35.1","5.9","1013862"
"1999","Carl Everett","Astros","123","535","25","86","108","27","9.3 %","17.6 %",".246",".357",".325",".398",".571",".411","146","2.2","35.6","9.1","5.9","1249"
"2013","Jacoby Ellsbury","Red Sox","134","636","9","92","53","52","7.4 %","14.5 %",".128",".341",".298",".355",".426",".343","113","11.4","20.7","12.0","5.8","4727"
"1992","Kenny Lofton","Indians","148","651","5","96","42","66","10.4 %","8.3 %",".080",".307",".285",".362",".365",".334","108","8.4","14.2","20.2","5.8","246"
"2002","Lance Berkman","Astros","158","692","42","106","128","8","15.5 %","17.1 %",".285",".302",".292",".405",".578",".411","149","-0.1","42.4","-6.9","5.8","548"
"2004","Aaron Rowand","White Sox","140","534","24","94","69","17","5.6 %","17.0 %",".234",".340",".310",".361",".544",".385","131","5.6","26.9","13.5","5.7","254"
"2005","Grady Sizemore","Indians","158","706","22","111","81","22","7.4 %","18.7 %",".195",".334",".289",".348",".484",".359","123","3.6","23.2","9.5","5.7","2197"
"2010","Carlos Gonzalez","Rockies","145","636","34","111","117","26","6.3 %","21.2 %",".262",".384",".336",".376",".598",".413","144","5.8","39.7","-4.7","5.7","7287"
"2006","Vernon Wells","Blue Jays","154","677","32","91","106","17","8.0 %","13.3 %",".239",".307",".303",".357",".542",".380","128","2.3","26.6","8.9","5.7","1326"
"2004","Andruw Jones","Braves","154","646","29","85","91","6","11.0 %","22.8 %",".226",".303",".261",".345",".488",".353","112","-0.3","9.6","26.7","5.7","96"
"1997","Ray Lankford","Cardinals","133","566","31","94","98","21","16.8 %","22.1 %",".290",".338",".295",".411",".585",".421","156","-0.5","39.5","0.0","5.6","1044"
"2007","Aaron Rowand","Phillies","161","684","27","105","89","6","6.9 %","17.4 %",".206",".345",".309",".374",".515",".384","127","4.0","27.9","6.9","5.6","254"
"2011","Shane Victorino","Phillies","132","586","17","95","61","19","9.4 %","10.8 %",".212",".292",".279",".355",".491",".368","132","6.3","28.1","6.6","5.6","1677"
"1998","Kenny Lofton","Indians","154","698","12","101","64","54","12.5 %","11.5 %",".132",".305",".282",".371",".413",".350","106","6.5","11.4","21.3","5.6","246"
"2001","Brian Giles","Pirates","160","674","37","116","95","13","13.4 %","9.9 %",".281",".296",".309",".404",".590",".413","150","0.0","44.4","-10.0","5.5","990"
"1993","Marquis Grissom","Expos","157","693","19","104","95","53","7.5 %","11.0 %",".140",".311",".298",".351",".438",".347","111","6.6","16.1","14.3","5.5","652"
"2001","Mike Cameron","Mariners","150","633","25","99","110","34","10.9 %","24.5 %",".213",".319",".267",".353",".480",".354","120","4.6","20.9","13.1","5.5","1070"
"1996","Ray Lankford","Cardinals","149","635","21","100","86","35","12.4 %","20.9 %",".211",".324",".275",".366",".486",".365","122","3.7","21.4","16.1","5.5","1044"
"1992","Steve Finley","Astros","162","686","5","84","55","44","8.5 %","9.2 %",".115",".318",".292",".355",".407",".344","121","5.2","21.1","8.3","5.4","54"
"2008","Alex Rios","Blue Jays","155","687","15","91","79","32","6.4 %","16.3 %",".170",".331",".291",".337",".461",".346","110","4.7","12.9","18.2","5.4","2090"
"1990","Roberto Kelly","Yankees","162","687","15","85","61","42","4.8 %","21.5 %",".133",".349",".285",".323",".418",".332","106","1.4","6.2","24.6","5.4","1006815"
"1993","Devon White","Blue Jays","146","668","15","116","52","34","8.5 %","19.0 %",".166",".322",".273",".341",".438",".346","109","5.3","12.5","20.2","5.4","1013862"
"2003","Andruw Jones","Braves","156","659","36","101","116","4","8.0 %","19.0 %",".235",".293",".277",".338",".513",".362","118","-1.4","13.7","19.5","5.4","96"
"2000","Ken Griffey Jr.","Reds","145","631","40","100","118","6","14.9 %","18.5 %",".285",".272",".271",".387",".556",".392","127","-0.6","22.8","13.1","5.4","327"
"2002","Carlos Beltran","Royals","162","722","29","114","105","35","9.8 %","18.7 %",".228",".302",".273",".346",".501",".364","117","6.2","20.9","8.1","5.4","589"
"2001","Carlos Beltran","Royals","155","680","24","106","101","31","7.6 %","17.6 %",".207",".345",".306",".362",".514",".373","122","5.7","24.4","6.9","5.4","589"
"2011","Andrew McCutchen","Pirates","158","678","23","87","89","23","13.1 %","18.6 %",".198",".291",".259",".364",".456",".360","130","0.8","24.1","5.6","5.4","9847"
"1996","Steve Finley","Padres","161","721","30","126","95","22","7.8 %","12.1 %",".234",".304",".298",".354",".531",".377","136","0.6","33.1","1.4","5.4","54"
"1995","Jim Edmonds","Angels","141","620","33","120","107","1","8.2 %","21.0 %",".246",".323",".290",".352",".536",".380","124","-1.7","18.1","15.0","5.3","1153"
"1999","Mike Cameron","Reds","146","636","21","93","66","38","12.6 %","22.8 %",".212",".311",".256",".357",".469",".360","107","2.2","7.9","26.2","5.3","1070"
"1992","Ken Griffey Jr.","Mariners","142","617","27","83","103","10","7.1 %","10.9 %",".227",".310",".308",".361",".535",".391","145","-0.1","31.4","-2.3","5.3","327"
"1999","Brady Anderson","Orioles","150","692","24","109","81","36","13.9 %","15.2 %",".195",".305",".282",".404",".477",".386","130","4.0","31.9","-0.6","5.2","364"
"1997","Kenny Lofton","Braves","122","564","5","90","48","27","11.3 %","14.7 %",".095",".390",".333",".409",".428",".374","125","-3.2","14.9","19.8","5.2","246"
"2013","Shin-Soo Choo","Reds","154","712","21","107","54","20","15.7 %","18.7 %",".178",".338",".285",".423",".462",".393","151","-0.6","40.0","-13.3","5.2","3174"
"2012","Austin Jackson","Tigers","137","617","16","103","66","12","10.9 %","21.7 %",".179",".371",".300",".377",".479",".371","134","-0.8","23.4","5.6","5.1","9848"
"2003","Mike Cameron","Mariners","147","612","18","74","76","17","11.4 %","22.4 %",".178",".307",".253",".344",".431",".340","110","1.6","9.6","21.4","5.1","1070"
"2002","Mike Cameron","Mariners","158","640","25","84","80","31","12.3 %","27.5 %",".204",".301",".239",".340",".442",".341","113","5.2","15.7","13.6","5.1","1070"
"1992","Marquis Grissom","Expos","159","707","14","99","66","78","5.9 %","11.5 %",".142",".295",".276",".322",".418",".331","110","10.5","18.3","7.4","5.1","652"
"2007","Carlos Beltran","Mets","144","636","33","93","112","23","10.8 %","17.5 %",".249",".286",".276",".353",".525",".369","122","7.6","26.1","5.1","5.1","589"
"2010","Angel Pagan","Mets","151","633","11","80","69","37","7.0 %","15.3 %",".135",".331",".290",".340",".425",".334","108","8.0","14.0","15.0","5.1","2918"
"1997","Bernie Williams","Yankees","129","591","21","107","100","15","12.4 %","13.5 %",".216",".351",".328",".408",".544",".408","149","-0.4","36.3","-5.1","5.1","857"
"2005","Randy Winn","- - -","160","683","20","85","63","19","7.0 %","13.3 %",".193",".332",".306",".360",".499",".368","127","3.6","27.2","0.5","5.1","1235"
"1990","Ron Gant","Braves","152","631","32","107","84","33","7.9 %","13.6 %",".237",".308",".303",".357",".539",".395","142","0.1","30.7","-4.9","5.1","1032"
